population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
11856,387.9892,.0038781858,386.65512,.99612182,100000,99656.156,1817631.3,18.176313,1,0,.0038682474,65,1,3,2006
11025,1097.5056,.010923505,1088.1268,.9890765,99613.344,98993.109,1717975.1,17.246435,.99613345,.000041910327,.010975055,66,1,3,2006
10532,1224.8386,.012181246,1200.1599,.98781878,98525.219,97865.133,1618982,16.432158,.9852522,.00017438685,.012248386,67,1,3,2006
10163,1367.7064,.013589706,1322.619,.98641032,97325.063,96624.078,1521116.9,15.629241,.97325063,.00034432855,.013677064,68,1,3,2006
9678,1529.2416,.015176374,1456.9691,.98482364,96002.445,95273.961,1424492.9,14.83809,.96002448,.00055914803,.015292416,69,1,3,2006
8990,2024.4717,.020041846,1894.8658,.97995818,94545.477,93598.047,1329218.9,14.059043,.94545478,.00097718311,.020244716,70,1,3,2006
8676,2178.4233,.021549514,1996.5756,.97845048,92650.609,91652.32,1235620.9,13.336349,.9265061,.0013595191,.021784233,71,1,3,2006
7880,2106.5989,.020846413,1889.8114,.97915357,90654.031,89709.125,1143968.5,12.619059,.90654033,.001601142,.021065988,72,1,3,2006
7762,2653.9551,.026191989,2324.9114,.97380799,88764.219,87601.766,1054259.4,11.877076,.8876422,.0023187161,.026539549,73,1,3,2006
7593,3252.9961,.03200933,2766.8643,.9679907,86439.305,85055.875,966657.63,11.18308,.86439306,.0032432547,.032529961,74,1,3,2006
7407,3388.6863,.033322271,2788.1555,.96667773,83672.438,82278.359,881601.75,10.536346,.8367244,.0038090858,.033886865,75,1,3,2006
7147,3861.7603,.037886068,3064.3875,.96211392,80884.281,79352.086,799323.38,9.882308,.80884284,.0047380365,.038617603,76,1,3,2006
6769,4358.103,.042651631,3319.1453,.95734835,77819.891,76160.32,719971.31,9.2517643,.7781989,.0057290229,.043581031,77,1,3,2006
6500,5061.5386,.049366046,3677.8071,.95063394,74500.742,72661.836,643810.94,8.6416712,.7450074,.0069867806,.050615389,78,1,3,2006
6165,5450.1216,.053055424,3757.541,.94694459,70822.938,68944.164,571149.13,8.0644655,.70822936,.0077646025,.054501217,79,1,3,2006
5675,7823.7886,.07529252,5049.5229,.92470747,67065.398,64540.637,502204.97,7.4882874,.670654,.011153245,.078237884,80,1,3,2006
5572,7447.9541,.071805522,4453.082,.92819446,62015.875,59789.336,437664.31,7.0572948,.62015873,.010489764,.074479543,81,1,3,2006
5042,8508.5283,.081613243,4697.8862,.91838676,57562.793,55213.852,377875,6.5645704,.57562792,.011476016,.085085288,82,1,3,2006
4893,9319.4355,.089045107,4707.3613,.91095489,52864.906,50511.227,322661.13,6.1035032,.52864909,.011729768,.093194358,83,1,3,2006
4155,10902.527,.10338926,4978.9731,.89661074,48157.547,45668.059,272149.91,5.6512408,.48157546,.01243053,.10902528,84,1,3,2006
3938,13357.034,.12520829,5406.3154,.87479174,43178.574,40475.418,226481.86,5.2452369,.43178573,.013264222,.13357034,85,1,3,2006
3610,13324.1,.12491884,4718.4668,.87508118,37772.258,35413.023,186006.44,4.9244194,.37772259,.011090673,.133241,86,1,3,2006
2496,15544.872,.14423792,4767.6099,.85576206,33053.789,30669.984,150593.41,4.5560102,.33053789,.010549891,.15544872,87,1,3,2006
2169,16689.719,.15404256,4357.2754,.84595746,28286.18,26107.543,119923.43,4.2396474,.2828618,.0088387765,.16689719,88,1,3,2006
1720,19418.605,.17700054,4235.4287,.82299948,23928.904,21811.189,93815.883,3.9206092,.23928905,.007709743,.19418605,89,1,3,2006
1347,21677.803,.19557936,3851.6377,.80442065,19693.477,17767.658,72004.695,3.6562715,.19693476,.006091421,.21677803,90,1,3,2006
1048,22041.984,.19853888,3145.2209,.8014611,15841.839,14269.229,54237.035,3.4236579,.15841839,.0041932715,.22041984,91,1,3,2006
850,26470.588,.23376623,2968.0405,.7662338,12696.618,11212.598,39967.809,3.1479099,.12696618,.0032899473,.26470587,92,1,3,2006
634,23659.307,.21156558,2058.2324,.78843439,9728.5781,8699.4619,28755.209,2.9557464,.097285785,.0018075657,.23659307,93,1,3,2006
389,37275.063,.31419283,2409.9675,.68580717,7670.3457,6465.3618,20055.748,2.6147125,.076703459,.00170674,.37275061,94,1,3,2006
315,34285.715,.29268295,1539.6229,.70731705,5260.3779,4490.5664,13590.386,2.5835378,.052603777,.00076729601,.34285718,95,1,3,2006
232,36637.93,.30965391,1152.1462,.69034612,3720.7549,3144.6816,9099.8193,2.4456916,.037207548,.00041273504,.36637929,96,1,3,2006
113,30088.496,.26153848,671.78998,.73846149,2568.6086,2232.7136,5955.1377,2.3184295,.025686087,.00016812426,.30088496,97,1,3,2006
68,35294.117,.29999998,569.04553,.70000005,1896.8186,1612.2959,3722.4243,1.9624567,.018968185,.00010589023,.35294116,98,1,3,2006
25,56000,.4375,580.9007,.5625,1327.7731,1037.3228,2110.1284,1.5892237,.013277731,.00007610632,.55999994,99,1,3,2006
7,85714.289,.60000002,448.12344,.39999998,746.87238,522.81067,1072.8055,1.4363974,.0074687237,.00003321913,.85714293,100,1,3,2006
10,30000,.26086956,77.934502,.73913044,298.74893,259.78168,549.99493,1.8409938,.0029874893,2.3213292e-06,.29999998,101,1,3,2006
4,50000,.40000001,88.325768,.60000002,220.81442,176.65154,290.21323,1.3142856,.0022081442,1.9460535e-06,.5,102,1,3,2006
3,33333.332,.28571427,37.853897,.71428573,132.48865,113.5617,113.5617,.85714287,.0013248865,5.0085669e-07,.33333331,103,1,3,2006
1,0,1,94.63475,0,94.63475,,,,.00094634749,8.9472604e-07,,104,1,3,2006
11775,382.16562,.0038200007,380.87131,.99618,100000,99661.32,1970520.8,19.705208,1,0,.0038103587,65,1,4,2006
11216,829.17261,.0082622673,823.07983,.99173772,99619.125,99149.969,1870859.5,18.780125,.99619126,.000031229545,.008291726,66,1,4,2006
10728,801.64056,.0079875914,789.14246,.99201238,98796.047,98362.016,1771709.5,17.933001,.98796046,.000093865274,.0080164056,67,1,4,2006
10236,1035.5608,.01030545,1010.0053,.98969454,98006.906,97471.602,1673347.5,17.073771,.98006904,.00019729156,.010355609,68,1,4,2006
9526,1081.2513,.010754373,1043.1409,.98924565,96996.898,96475.328,1575875.9,16.246662,.96996897,.00030385819,.010812514,69,1,4,2006
9267,1208.5896,.0120133,1152.7213,.98798668,95953.758,95377.398,1479400.5,15.417849,.95953757,.00044754666,.012085896,70,1,4,2006
8546,1521.1794,.015096968,1431.2083,.98490304,94801.039,94085.438,1384023.1,14.59924,.94801039,.00070539524,.015211794,71,1,4,2006
7860,1921.1196,.019028418,1776.6801,.98097157,93369.828,92481.484,1289937.8,13.815359,.9336983,.0010998679,.019211197,72,1,4,2006
7679,1979.4244,.019600259,1795.2494,.98039973,91593.148,90695.523,1197456.3,13.073645,.91593146,.0013823604,.019794244,73,1,4,2006
7739,2015.7643,.019956505,1792.0522,.98004347,89797.898,88901.875,1106760.8,12.325018,.89797896,.0016417482,.020157643,74,1,4,2006
7475,2528.428,.024968622,2197.3848,.97503138,88005.844,86907.148,1017858.8,11.565809,.88005841,.0023194626,.025284281,75,1,4,2006
7214,3271.4167,.03218767,2761.9744,.9678123,85808.461,84427.477,930951.69,10.849183,.85808462,.0033634056,.032714166,76,1,4,2006
6647,3866.406,.037930783,3150.0181,.96206921,83046.484,81471.477,846524.19,10.193377,.83046484,.0044350047,.038664062,77,1,4,2006
6691,4124.9438,.040415872,3229.0854,.95958412,79896.469,78281.93,765052.69,9.575551,.79896468,.005186561,.041249439,78,1,4,2006
6107,4666.7759,.045603648,3496.3123,.95439637,76667.383,74919.227,686770.81,8.9577961,.7666738,.006254381,.046667758,79,1,4,2006
5837,5379.4756,.052385718,3833.1191,.94761431,73171.07,71254.508,611851.56,8.3619328,.73171073,.0075248014,.053794757,80,1,4,2006
5652,6157.1123,.059732232,4141.7109,.94026774,69337.953,67267.094,540597.06,7.7965536,.69337952,.0088054575,.061571125,81,1,4,2006
5145,6569.4849,.063605569,4146.8442,.93639445,65196.242,63122.82,473329.97,7.2600803,.6519624,.0094094966,.065694854,82,1,4,2006
