population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_education,year
671,25633.383,.22721268,2408.8765,.77278733,10601.857,9397.4189,27461.25,2.59023,.10601857,.0022831003,.25633383,93,1,2,2006
464,26724.139,.23574145,1931.425,.76425856,8192.9805,7227.2681,18063.83,2.2047935,.081929803,.001452766,.26724139,94,1,2,2006
294,19727.891,.17956656,1124.366,.82043344,6261.5557,5699.3726,10836.563,1.7306502,.062615559,.00065994496,.1972789,95,1,2,2006
1,100000,.66666669,3424.793,.33333331,5137.1895,3424.793,5137.1895,1,.051371895,.0016689984,1,96,1,2,2006
3,0,0,0,1,1712.3965,1712.3965,1712.3965,1,.017123966,0,0,98,1,2,2006
1,0,1,1712.3965,0,1712.3965,,,,.017123966,.00028820895,,100,1,2,2006
8849,463.32919,.004630859,461.42691,.99536914,100000,99589.43,1969134.6,19.691347,1,0,.0046166847,65,1,3,2006
7949,1182.5387,.01176556,1171.1271,.98823446,99538.57,98871.031,1869545.3,18.782118,.99538571,.000053789885,.011825387,66,1,3,2006
7841,867.23633,.0086386502,849.76196,.99136138,98367.445,97900.078,1770674.1,18.00061,.98367447,.00013646336,.0086723631,67,1,3,2006
7302,1109.2852,.011035318,1076.1385,.98896468,97517.68,96947.328,1672774.1,17.153547,.97517681,.00026050085,.011092852,68,1,3,2006
6741,1453.7903,.01443299,1391.9398,.98556703,96441.539,95745.57,1575826.8,16.33971,.96441537,.00047769092,.014537903,69,1,3,2006
6119,1438.1434,.01427876,1357.1904,.98572123,95049.602,94371.008,1480081.1,15.571671,.95049602,.00063860341,.014381435,70,1,3,2006
5524,1593.0485,.015804596,1480.7708,.98419541,93692.414,92952.031,1385710.1,14.789992,.93692416,.00087509525,.015930483,71,1,3,2006
4981,1847.0187,.018301174,1687.5813,.98169881,92211.641,91367.852,1292758.1,14.019467,.9221164,.0012119828,.018470187,72,1,3,2006
4836,2047.1464,.020264046,1834.3838,.97973597,90524.063,89606.867,1201390.3,13.271502,.9052406,.0015735355,.020471463,73,1,3,2006
4814,2035.7291,.02015217,1787.2896,.97984785,88689.68,87796.031,1111783.4,12.535657,.88689679,.0017928458,.020357292,74,1,3,2006
4541,2752.6978,.027153254,2359.6826,.97284675,86902.391,85722.547,1023987.4,11.78319,.86902392,.0026858225,.027526977,75,1,3,2006
4182,2869.4404,.028288543,2391.5901,.97171146,84542.711,83346.914,938264.88,11.098117,.8454271,.0031253328,.028694404,76,1,3,2006
3831,3367.2671,.033115134,2720.4453,.96688485,82151.117,80790.891,854917.94,10.406651,.82151115,.0039890045,.033672672,77,1,3,2006
3708,4341.9634,.042497031,3375.5679,.95750296,79430.672,77742.891,774127.06,9.7459459,.7943067,.0055151228,.043419637,78,1,3,2006
3289,4378.2305,.042844392,3258.5347,.95715559,76055.102,74425.836,696384.13,9.1563101,.76055104,.0059342203,.043782305,79,1,3,2006
3023,5590.4731,.054384556,3959.009,.94561547,72796.57,70817.063,621958.31,8.543786,.72796571,.0078400904,.055904731,80,1,3,2006
2932,5354.7065,.052150805,3589.9343,.94784921,68837.563,67042.594,551141.25,8.006403,.68837565,.0077009341,.053547066,81,1,3,2006
2512,6250,.060606062,3954.4019,.93939394,65247.629,63270.43,484098.66,7.4194059,.65247631,.0089666452,.0625,82,1,3,2006
2290,7074.2358,.068325602,4187.8965,.93167442,61293.227,59199.277,420828.22,6.8658195,.61293226,.0099356296,.070742354,83,1,3,2006
1902,9621.4512,.091798343,5242.1743,.90820163,57105.328,54484.242,361628.94,6.3326654,.57105327,.012840781,.096214503,84,1,3,2006
1791,10608.599,.10074231,5224.814,.89925766,51863.152,49250.746,307144.72,5.9222145,.51863152,.013043897,.10608599,85,1,3,2006
1562,12099.872,.11409599,5321.2476,.88590401,46638.34,43977.715,257893.97,5.5296559,.4663834,.013242984,.12099873,86,1,3,2006
1235,13603.239,.12736923,5262.5264,.87263077,41317.094,38685.832,213916.25,5.1774273,.41317093,.012759559,.1360324,87,1,3,2006
1044,14559.387,.13571428,4893.1196,.86428571,36054.566,33608.008,175230.42,4.8601451,.36054567,.011281209,.14559387,88,1,3,2006
822,14598.54,.13605443,4239.6528,.8639456,31161.447,29041.621,141622.41,4.5447955,.31161448,.0090945177,.14598541,89,1,3,2006
584,17979.451,.16496465,4441.1445,.83503532,26921.795,24701.223,112580.79,4.1817713,.26921794,.0087374914,.17979452,90,1,3,2006
382,21727.748,.19598582,4405.8887,.80401421,22480.65,20277.707,87879.563,3.9091201,.2248065,.007678078,.21727747,91,1,3,2006
311,21543.408,.19448476,3515.2656,.80551523,18074.762,16317.129,67601.859,3.7401245,.18074761,.0052053318,.21543407,92,1,3,2006
240,24166.666,.21561338,3139.2222,.78438663,14559.496,12989.885,51284.73,3.5224249,.14559495,.0039051,.24166666,93,1,3,2006
170,33529.41,.28715363,3279.373,.7128464,11420.273,9780.5869,38294.844,3.3532336,.11420274,.0033174292,.3352941,94,1,3,2006
142,11267.605,.10666666,868.36267,.89333332,8140.9004,7706.7192,28514.258,3.5025926,.081409007,.00064937538,.11267605,95,1,3,2006
