population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
38,44736.844,.36559141,352.63876,.63440859,964.57068,788.25128,1507.8832,1.5632688,.009645707,.000033686407,.44736844,99,1,2,2006
19,63157.895,.47999999,293.72729,.51999998,611.93188,465.06824,719.6319,1.176,.0061193188,.00001786412,.63157892,100,1,2,2006
16,50000,.40000001,127.28184,.60000002,318.20459,254.56367,254.56367,.80000001,.0031820459,4.0372788e-06,.5,101,1,2,2006
0,,,,,190.92276,,0,,.0019092276,,,102,1,2,2006
5,100000,.66666669,,.33333331,,,0,,,,,103,1,2,2006
6,50000,.40000001,,.60000002,,,0,,,,,104,1,2,2006
1,100000,1,,0,,,,,,,,106,1,2,2006
11584,509.32321,.0050902921,507.0246,.9949097,100000,99548.695,1835766,18.35766,1,0,.0050731627,65,1,3,2006
11040,969.20288,.0096518043,960.28674,.99034822,99492.977,98945.609,1736217.3,17.450651,.99492979,.000048441689,.0096920291,66,1,3,2006
10565,1012.778,.010081832,993.39001,.98991817,98532.688,97986.32,1637271.6,16.616533,.98532689,.00014362248,.01012778,67,1,3,2006
10088,1189.5321,.011829186,1153.8105,.9881708,97539.297,96927.773,1539285.4,15.781181,.975393,.00027693182,.011895321,68,1,3,2006
9568,1358.6957,.013495277,1300.7488,.98650473,96385.484,95735.109,1442357.5,14.964468,.96385485,.0004531637,.013586957,69,1,3,2006
9040,1736.7257,.017217744,1637.1447,.98278224,95084.734,94266.164,1346622.5,14.162342,.95084733,.00076514715,.017367257,70,1,3,2006
8585,2131.625,.021091454,1970.9454,.97890854,93447.586,92462.109,1252356.3,13.401697,.93447584,.0012068246,.021316249,71,1,3,2006
7858,2137.9485,.021153361,1935.0383,.97884667,91476.641,90509.125,1159894.1,12.679675,.91476643,.0015087264,.021379484,72,1,3,2006
7640,2643.979,.026094818,2336.5718,.97390521,89541.602,88373.313,1069385,11.942884,.89541602,.00218811,.026439788,73,1,3,2006
7658,3094.8027,.030476434,2657.6985,.96952355,87205.031,85876.18,981011.75,11.249486,.87205029,.0029654221,.030948028,74,1,3,2006
7374,3458.0959,.033993199,2874.0344,.96600682,84547.336,83110.32,895135.56,10.587389,.84547335,.0037548733,.034580957,75,1,3,2006
7156,3926.7747,.038511615,3145.3708,.96148837,81673.305,80100.617,812025.25,9.942358,.81673306,.0047079963,.039267749,76,1,3,2006
6678,4851.752,.047368422,3719.7444,.95263159,78527.938,76668.063,731924.63,9.3205633,.78527939,.006272072,.048517521,77,1,3,2006
6474,5251.7764,.051173992,3828.2341,.94882601,74808.195,72894.078,655256.56,8.7591543,.74808198,.0072145113,.052517764,78,1,3,2006
6082,5508.0566,.05360429,3804.8303,.9463957,70979.961,69077.547,582362.5,8.2046041,.70979959,.0078373468,.055080567,79,1,3,2006
5732,6821.354,.06596373,4431.1226,.93403625,67175.133,64959.57,513284.94,7.6409965,.67175132,.0097706905,.068213545,80,1,3,2006
5513,7944.8574,.076413117,4794.4653,.92358691,62744.012,60346.777,448325.34,7.145309,.62744009,.011207495,.079448573,81,1,3,2006
5031,7453.7866,.071859732,4164.2388,.92814028,57949.547,55867.426,387978.59,6.6951098,.57949549,.010147437,.074537866,82,1,3,2006
4867,9307.582,.08893688,4783.4976,.91106313,53785.309,51393.559,332111.16,6.1747561,.53785306,.011890203,.093075819,83,1,3,2006
4193,10779.871,.10228559,5012.1792,.89771444,49001.813,46495.723,280717.59,5.7287188,.49001813,.012525454,.10779872,84,1,3,2006
3947,12819.863,.12047619,5299.7036,.87952381,43989.633,41339.781,234221.88,5.3244791,.43989632,.013057809,.12819864,85,1,3,2006
3630,13085.399,.12281836,4751.8335,.87718165,38689.93,36314.012,192882.09,4.9853306,.38689929,.01127174,.130854,86,1,3,2006
2506,14724.661,.13714923,4654.584,.86285079,33938.098,31610.805,156568.08,4.6133428,.33938098,.010435648,.14724661,87,1,3,2006
2095,17422.434,.16026343,4693.0767,.83973658,29283.514,26936.975,124957.27,4.2671542,.29283515,.0097185513,.17422433,88,1,3,2006
1756,19703.873,.17936756,4410.7266,.82063246,24590.438,22385.074,98020.297,3.9861145,.24590437,.008179049,.19703873,89,1,3,2006
1320,20303.031,.18431912,3719.5066,.81568086,20179.711,18319.957,75635.227,3.7480826,.20179711,.0059911967,.2030303,90,1,3,2006
1051,21122.74,.19104992,3144.7209,.80895007,16460.205,14887.845,57315.27,3.4820507,.16460206,.0043242499,.21122742,91,1,3,2006
848,25235.85,.22408378,2983.7842,.77591622,13315.484,11823.592,42427.422,3.186322,.13315484,.0034440216,.25235853,92,1,3,2006
622,25241.158,.22412562,2315.5986,.77587438,10331.7,9173.9004,30603.832,2.9621294,.103317,.0021452308,.25241157,93,1,3,2006
397,34508.816,.2943072,2359.1965,.70569277,8016.1016,6836.5034,21429.932,2.6733608,.080161013,.0017395588,.34508818,94,1,3,2006
284,34859.156,.29685158,1679.2612,.70314842,5656.9053,4817.2744,14593.428,2.5797546,.056569051,.00089620479,.34859154,95,1,3,2006
200,38500,.32285115,1284.187,.67714882,3977.644,3335.5505,9776.1533,2.4577749,.039776441,.00049048592,.38500002,96,1,3,2006
119,40336.133,.33566433,904.09747,.66433567,2693.457,2241.4082,6440.603,2.3912032,.02693457,.00023695579,.40336135,97,1,3,2006
69,49275.363,.39534885,707.42126,.60465115,1789.3596,1435.6489,4199.1948,2.3467584,.017893596,.00012431807,.49275365,98,1,3,2006
37,40540.539,.33707863,364.6983,.66292137,1081.9384,899.58923,2763.5459,2.5542545,.010819384,.000039031198,.40540537,99,1,3,2006
22,90909.094,.625,448.27502,.375,717.24005,493.10254,1863.9565,2.5987904,.0071724006,.000031921474,.90909088,100,1,3,2006
14,21428.572,.1935484,52.057751,.80645162,268.96503,242.93616,1370.854,5.0967741,.0026896503,1.3964054e-06,.21428573,101,1,3,2006
9,22222.223,.2,43.381454,.80000001,216.90727,195.21655,1127.9178,5.2000003,.0021690726,9.3893419e-07,.22222222,102,1,3,2006
7,28571.428,.25,43.381454,.75,173.52582,151.83508,932.70129,5.375,.0017352581,7.5147392e-07,.2857143,103,1,3,2006
6,16666.666,1,130.14436,0,130.14436,780.86621,780.86621,6,.0013014437,1.6915513e-06,,104,1,3,2006
11687,359.37366,.0035922725,358.2291,.99640775,100000,99681.508,1936798.4,19.367983,1,0,.0035837467,65,1,4,2006
10983,892.28809,.0088887764,885.69342,.99111122,99641.773,99136.93,1837116.9,18.437216,.99641776,.000031614003,.0089228805,66,1,4,2006
10757,938.92346,.0093497308,923.34277,.9906503,98756.078,98248.242,1737979.9,17.598713,.98756081,.00011342765,.0093892347,67,1,4,2006
10126,1046.8102,.01041685,1019.1089,.98958313,97832.734,97292.609,1639731.8,16.760563,.97832733,.00021608127,.010468101,68,1,4,2006
9514,1208.745,.012014835,1163.1997,.98798519,96813.625,96232.023,1542439.1,15.932046,.96813625,.0003588291,.012087449,69,1,4,2006
