population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
10679,767.86218,.0076510096,754.80774,.99234897,98654.656,98254.609,1909471.3,19.355104,.98654658,.00010018132,.0076786219,68,2,4,2006
10068,744.93445,.0074217012,726.58344,.99257833,97899.852,97536.563,1811216.6,18.50071,.97899854,.00014938845,.0074493443,69,2,4,2006
9986,861.20569,.0085751321,833.27362,.99142486,97173.266,96756.625,1713680.1,17.635305,.97173268,.00022888595,.0086120572,70,2,4,2006
9407,914.21283,.0091005294,876.74493,.99089944,96339.992,95901.617,1616923.5,16.783512,.96339995,.00030914455,.0091421288,71,2,4,2006
8987,1068.2096,.010625346,1014.33,.98937464,95463.25,94956.086,1521021.9,15.933062,.95463252,.00043929895,.010682096,72,2,4,2006
8907,1336.0278,.013271622,1253.4905,.98672837,94448.922,93822.18,1426065.8,15.098804,.94448924,.00065719645,.01336028,73,2,4,2006
9105,1427.787,.014176664,1321.2003,.98582333,93195.43,92534.828,1332243.6,14.29516,.93195432,.00083784526,.014277871,74,2,4,2006
9123,1753.8091,.017385636,1597.2919,.98261434,91874.227,91075.578,1239708.8,13.493542,.91874224,.0011924572,.017538091,75,2,4,2006
8944,2191.4133,.02167662,1956.8989,.9783234,90276.938,89298.484,1148633.3,12.72344,.90276939,.0017177036,.021914132,76,2,4,2006
8733,2095.4998,.020737719,1831.5562,.97926229,88320.039,87404.258,1059334.8,11.994274,.88320041,.0018893866,.020954998,77,2,4,2006
8747,2835.2578,.027956262,2417.8948,.97204375,86488.484,85279.539,971930.44,11.237686,.86488485,.0028255286,.028352579,78,2,4,2006
8282,3091.0408,.030439952,2559.1047,.96956003,84070.586,82791.031,886650.94,10.546506,.84070587,.0034271404,.03091041,79,2,4,2006
8070,3370.5081,.033146478,2701.8186,.9668535,81511.484,80160.578,803859.88,9.8619213,.81511486,.0040717116,.033705082,80,2,4,2006
8073,4261.1172,.041722253,3288.1167,.95827776,78809.664,77165.609,723699.31,9.1828756,.78809667,.0054911654,.042611171,81,2,4,2006
7667,4747.6196,.046375334,3502.3369,.95362467,75521.547,73770.375,646533.69,8.5609169,.75521547,.0064745974,.047476195,82,2,4,2006
7388,5184.0825,.050531041,3639.2058,.94946897,72019.211,70199.609,572763.31,7.9529243,.72019213,.0073335608,.051840827,83,2,4,2006
6807,6831.2031,.066055827,4516.8979,.93394417,68380.008,66121.563,502563.72,7.3495708,.6838001,.0097663254,.068312034,84,2,4,2006
6940,7665.7061,.073827364,4714.8452,.92617261,63863.109,61505.688,436442.16,6.8340263,.63863111,.010880986,.076657064,85,2,4,2006
6656,8037.8604,.077273056,4570.5674,.92272693,59148.266,56862.98,374936.47,6.3389258,.59148264,.011043903,.080378607,86,2,4,2006
4827,8991.0918,.086042821,4696.019,.91395718,54577.699,52229.691,318073.47,5.8279018,.54577696,.011641641,.08991091,87,2,4,2006
