population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,neighborhood_deprivation,year
1222,5728.3145,.05568815,3156.8655,.94431186,56688.281,55109.848,450729.38,7.951015,.56688279,.007750947,.057283144,80,1,1,2,2006
1183,6762.4683,.065412916,3501.646,.93458706,53531.414,51780.59,395619.53,7.3904181,.53531414,.0087104458,.067624681,81,1,1,2,2006
1133,8473.0801,.081287041,4066.772,.91871297,50029.77,47996.383,343838.94,6.8726869,.50029767,.010166925,.084730797,82,1,1,2,2006
997,8726.1787,.083613649,3843.1338,.91638637,45962.996,44041.43,295842.56,6.4365377,.45962995,.0095452014,.087261789,83,1,1,2,2006
902,11308.204,.10703043,4508.1069,.89296955,42119.863,39865.809,251801.14,5.9782043,.42119864,.01099033,.11308204,84,1,1,2,2006
841,10820.452,.10265087,3860.8799,.89734912,37611.758,35681.316,211935.33,5.6348157,.37611759,.009059676,.10820452,85,1,1,2,2006
770,13766.233,.12879708,4347.0146,.87120295,33750.879,31577.371,176254.02,5.2222052,.3375088,.0097197779,.13766234,86,1,1,2,2006
622,12218.649,.11515152,3385.8994,.88484848,29403.863,27710.914,144676.64,4.9203277,.29403862,.007028447,.1221865,87,1,1,2,2006
513,13255.36,.12431444,3234.4087,.87568557,26017.965,24400.76,116965.73,4.4955754,.26017964,.0062257904,.13255361,88,1,1,2,2006
375,20800,.1884058,4292.5542,.81159419,22783.557,20637.279,92564.969,4.0627971,.22783557,.0075517413,.208,89,1,1,2,2006
330,20909.092,.18930042,3500.3545,.81069958,18491.002,16740.824,71927.688,3.8898752,.18491001,.0052756746,.20909092,90,1,1,2,2006
207,14009.662,.13092551,1962.6581,.86907446,14990.647,14009.318,55186.867,3.6814198,.14990647,.002501104,.14009662,91,1,1,2,2006
180,26111.111,.23095824,3008.9214,.76904178,13027.989,11523.528,41177.547,3.1606987,.1302799,.0034093203,.26111111,92,1,1,2,2006
152,23684.211,.21176471,2121.6851,.78823531,10019.068,8958.2256,29654.02,2.9597583,.10019068,.0019127524,.23684211,93,1,1,2,2006
91,40659.34,.33789954,2668.5222,.66210043,7897.3833,6563.1221,20695.795,2.6205888,.07897383,.001941002,.40659341,94,1,1,2,2006
54,22222.223,.2,1045.7723,.80000001,5228.8613,4705.9751,14132.672,2.7028201,.052288614,.0005182274,.22222224,95,1,1,2,2006
41,43902.438,.35999998,1505.912,.63999999,4183.0889,3430.1328,9426.6973,2.2535255,.04183089,.00060358556,.43902439,96,1,1,2,2006
30,50000,.40000001,1070.8707,.60000002,2677.1768,2141.7415,5996.5645,2.2398837,.026771767,.00027901577,.5,97,1,1,2,2006
21,47619.047,.38461539,617.81,.61538458,1606.306,1297.401,3854.823,2.399806,.016063061,.000097645112,.47619048,98,1,1,2,2006
14,28571.428,.25,247.12401,.75,988.49603,864.93402,2557.4219,2.5871847,.00988496,.000024186638,.2857143,99,1,1,2,2006
10,10000,.095238097,70.606857,.90476191,741.37201,706.0686,1692.4879,2.2829132,.0074137202,5.1957873e-06,.1,100,1,1,2,2006
7,42857.145,.35294119,236.74065,.64705884,670.76514,552.39484,986.41931,1.4705882,.0067076515,.000015773223,.42857146,101,1,1,2,2006
1,0,0,0,1,434.02448,434.02448,434.02448,1,.0043402449,0,0,102,1,1,2,2006
0,,,,,434.02448,,0,,.0043402449,,,103,1,1,2,2006
2,50000,1,,0,,,,,,,,104,1,1,2,2006
2984,603.21716,.0060280482,599.99329,.99397194,100000,99465.555,1647258.6,16.472586,1,0,.0060040178,65,1,1,3,2006
2935,2282.7939,.022606038,2247.0403,.97739398,99400.008,98119.195,1547793.1,15.571358,.99400008,.00013401177,.022827938,66,1,1,3,2006
3066,1565.5577,.015546056,1510.3455,.98445392,97152.969,96322.281,1449673.9,14.92156,.97152966,.00041775819,.015655577,67,1,1,3,2006
2900,2482.7585,.024541214,2347.186,.9754588,95642.625,94398.617,1353351.6,14.150088,.95642626,.00097819138,.024827583,68,1,1,3,2006
2723,2864.4878,.028240407,2634.7012,.97175962,93295.438,91978.086,1258953,13.494261,.93295437,.0016480191,.028644878,69,1,1,3,2006
2499,3241.2966,.031896044,2891.7188,.96810395,90660.734,89214.875,1166974.9,12.871888,.90660733,.0024484321,.032412965,70,1,1,3,2006
2523,2853.7456,.028135991,2469.4683,.97186399,87769.016,86534.281,1077760,12.279504,.87769014,.002650978,.028537456,71,1,1,3,2006
2360,3516.9492,.034561735,2948.1003,.96543825,85299.547,83825.5,991225.75,11.620527,.85299546,.0036967469,.035169493,72,1,1,3,2006
2238,4200.1787,.041137855,3387.762,.95886213,82351.445,80657.563,907400.25,11.018632,.82351446,.0049237185,.042001788,73,1,1,3,2006
2228,4533.2139,.044327412,3500.2556,.95567256,78963.68,77213.555,826742.69,10.469911,.78963679,.0058142929,.045332141,74,1,1,3,2006
2106,4843.3047,.0472879,3568.5068,.95271212,75463.422,73679.172,749529.19,9.9323511,.7546342,.0066074976,.048433051,75,1,1,3,2006
2192,5018.248,.048954159,3519.5552,.95104587,71894.914,70135.133,675850,9.400526,.71894914,.0071116579,.05018248,76,1,1,3,2006
2040,5245.0981,.051110581,3494.7043,.94888943,68375.359,66628.008,605714.88,8.8586721,.68375361,.0075567607,.052450981,77,1,1,3,2006
2076,5732.1772,.055724654,3615.4521,.94427532,64880.656,63072.93,539086.88,8.3088999,.64880657,.0082380464,.057321772,78,1,1,3,2006
1898,6849.3149,.066225164,4057.2981,.93377483,61265.203,59236.555,476013.91,7.7697272,.612652,.0096283546,.06849315,79,1,1,3,2006
1875,6933.3335,.067010313,3833.5198,.93298972,57207.906,55291.145,416777.38,7.2853107,.57207906,.009384633,.069333337,80,1,1,3,2006
1709,9537.7412,.091036022,4858.9917,.90896398,53374.387,50944.891,361486.22,6.7726536,.53374386,.012092153,.095377408,81,1,1,3,2006
1588,9068.0098,.086746983,4208.564,.91325301,48515.395,46411.113,310541.31,6.4008818,.48515394,.010512134,.090680093,82,1,1,3,2006
1590,9811.3203,.093525179,4143.8042,.90647483,44306.832,42234.93,264130.22,5.9613881,.44306833,.010225201,.098113202,83,1,1,3,2006
1415,12438.162,.11709913,4703.0557,.88290089,40163.027,37811.5,221895.28,5.5248642,.40163028,.011302543,.12438162,84,1,1,3,2006
1360,11911.765,.11242193,3986.4785,.88757807,35459.973,33466.734,184083.78,5.1913118,.35459971,.0091234045,.11911765,85,1,1,3,2006
1201,12656.12,.11902898,3746.2578,.88097101,31473.494,29600.365,150617.05,4.7855206,.31473494,.008079811,.12656121,86,1,1,3,2006
900,15777.777,.14624098,4054.8582,.85375905,27727.236,25699.807,121016.68,4.3645415,.27727237,.0081256283,.15777777,87,1,1,3,2006
665,18345.865,.16804408,3978.0029,.83195591,23672.379,21683.377,95316.875,4.0265017,.2367238,.0071876803,.18345864,88,1,1,3,2006
560,19285.715,.17589577,3464.1572,.82410425,19694.375,17962.297,73633.5,3.7388086,.19694375,.0054788035,.19285715,89,1,1,3,2006
454,22466.961,.2019802,3278.1826,.79801977,16230.218,14591.127,55671.203,3.4300959,.16230218,.0044570235,.22466961,90,1,1,3,2006
352,29261.363,.25526643,3306.2197,.74473357,12952.035,11298.926,41080.074,3.1717081,.12952036,.0037275921,.29261366,91,1,1,3,2006
302,27152.318,.23906706,2305.9968,.76093292,9645.8154,8492.8174,29781.15,3.0874684,.096458152,.0020097678,.27152321,92,1,1,3,2006
