population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
15,33333.332,.28571427,77.013397,.71428573,269.54691,231.04021,527.86273,1.9583335,.002695469,2.0702767e-06,.33333331,99,1,2,2006
7,28571.428,.25,48.133377,.75,192.53351,168.46683,296.82251,1.5416667,.001925335,9.2494446e-07,.2857143,100,1,2,2006
2,100000,.66666669,96.266754,.33333331,144.40013,96.266754,128.35567,.88888884,.0014440013,1.3880859e-06,1,101,1,2,2006
1,100000,.66666669,32.088921,.33333331,48.133377,32.088917,32.088917,.66666663,.00048133376,1.5438044e-07,1.0000001,102,1,2,2006
1,0,1,16.044456,0,16.044456,,,,.00016044457,2.5738331e-08,,104,1,2,2006
2336,470.89041,.0047063911,468.92554,.99529362,100000,99582.734,1964035,19.64035,1,0,.0046917503,65,1,19,2006
2238,1206.4343,.012002081,1194.5801,.98799789,99531.078,98850.164,1864452.3,18.732363,.99531078,.000055753771,.012064344,66,1,19,2006
2123,659.44415,.0065749306,646.55566,.99342507,98336.5,97980.891,1765602,17.954697,.983365,.00010576537,.0065944418,67,1,19,2006
2057,875.06079,.0087147662,851.34503,.9912852,97689.945,97238.734,1667621.1,17.070551,.97689945,.00019212234,.0087506082,68,1,19,2006
1930,932.64252,.0092831356,898.96588,.99071687,96838.602,96389.117,1570382.4,16.216492,.96838599,.00027521444,.0093264254,69,1,19,2006
1833,1472.9951,.014622259,1402.8541,.98537773,95939.633,95238.203,1473993.3,15.363757,.9593963,.00054648233,.014729952,70,1,19,2006
1690,1715.9763,.017013786,1608.4286,.98298621,94536.781,93732.57,1378755.1,14.584325,.94536781,.00083071331,.017159762,71,1,19,2006
1544,1943.0051,.019243104,1788.23,.98075688,92928.352,92034.234,1285022.5,13.828099,.9292835,.0011751474,.019430052,72,1,19,2006
1575,1841.2699,.018244732,1662.8271,.98175526,91140.125,90308.711,1192988.3,13.089605,.91140127,.0013427163,.0184127,73,1,19,2006
1556,2120.8225,.020985691,1877.7429,.97901434,89477.297,88538.422,1102679.6,12.323568,.89477295,.001767976,.021208227,74,1,19,2006
1450,3172.4138,.031228784,2735.6277,.96877122,87599.555,86231.742,1014141.2,11.577013,.87599558,.0029716392,.03172414,75,1,19,2006
1438,3546.5925,.034847967,2957.3354,.96515203,84863.93,83385.266,927909.44,10.934085,.84863931,.0037987162,.035465926,76,1,19,2006
1369,2921.8408,.028797697,2358.7212,.97120231,81906.594,80727.234,844524.19,10.310821,.81906593,.0034955526,.029218407,77,1,19,2006
